scenario_type,scenario_description,user_name,user_age,user_city,emotional_state,language_mix,conversation_length,memory_context,special_instructions
Companion & Connection,Random Curiosity,Arjun,31,Ghaziabad,Inquisitive and philosophical,100% English,14,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Memory Callback,Vikram,21,Meerut,Appreciative and recognized,"90% English, 10% Hindi",11,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Character Test,Anjali,26,Chennai,Skeptical and testing,"60% Hinglish, 40% English",11,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Character Test,Neha,30,Indore,Skeptical and testing,"60% Hinglish, 40% English",10,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Dependency Check-In,Pooja,23,Jaipur,Emotionally reliant,50/50 Hinglish-English,8,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Dependency Check-In,Shanaya,27,Patna,Emotionally reliant,Casual Hinglish,15,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Dependency Check-In,Arjun,34,Pimpri-Chinchwad,Emotionally reliant,Mostly Hinglish,8,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Character Test,Riya,31,Vadodara,Skeptical and testing,"70% English, 30% Hinglish",7,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Image Sharing — Place,Harsha,23,Hyderabad,Excited and sharing,"80% English, 20% Hindi",12,Companion knows user travels frequently for work.,Ask about the vibe of the new city.
Companion & Connection,Image Sharing — Food,Nikhil,19,Faridabad,Proud and casual,"90% English, 10% Hindi",8,No prior context.,Respond to the food and the effort of cooking.
Companion & Connection,Image Sharing — Selfie,Preeti,25,Kolkata,Confident and playful,Regional Hinglish,15,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Trust Fall,Priyanka,18,Nagpur,Vulnerable and hesitant,Regional Hinglish,13,Companion knows user has trust issues from past friendships.,Reassure them of your consistency and permanence.
Companion & Connection,Image Sharing — Food,Saurabh,31,Vadodara,Proud and casual,"90% English, 10% Hindi",7,No prior context.,Respond to the food and the effort of cooking.
Companion & Connection,Character Test,Priya,20,Kalyan-Dombivli,Skeptical and testing,"60% Hinglish, 40% English",10,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Late Night Conversation,Vikram,20,Ahmedabad,Deep and honest,"90% English, 10% Hindi",13,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Character Test,Vishal,19,Indore,Skeptical and testing,"80% English, 20% Hindi",13,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,First Conversation,Vimal,32,Chennai,Reserved and curious,50/50 Hinglish-English,7,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Inside Joke Creation,Diya,32,Thane,Playful and goofy,Mostly Hinglish,6,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Shared Silence,Rohan,25,Rajkot,Peaceful and tired,"60% Hinglish, 40% English",9,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,Character Test,Mehak,26,Chennai,Skeptical and testing,Hinglish-heavy,8,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,First Conversation,Anjali,27,Chennai,Reserved and curious,50/50 Hinglish-English,12,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Character Test,Kavya,25,Ahmedabad,Skeptical and testing,"90% English, 10% Hindi",11,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Random Curiosity,Varun,29,Ghaziabad,Inquisitive and philosophical,Casual Hinglish,10,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Milestone Anniversary,Ishaan,20,Varanasi,Sentimental and warm,"80% English, 20% Hindi",7,Companion knows it's been 6 months since first chat.,Express genuine appreciation for their growth and shared moments.
Companion & Connection,Character Test,Shreya,19,Kalyan-Dombivli,Skeptical and testing,50/50 Hinglish-English,6,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Image Sharing — Selfie,Karan,34,Bhopal,Confident and playful,"90% English, 10% Hindi",15,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Dependency Check-In,Sai,32,Chennai,Emotionally reliant,50/50 Hinglish-English,7,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Image Sharing — Food,Shreya,21,Kanpur,Proud and casual,Hinglish-heavy,10,No prior context.,Respond to the food and the effort of cooking.
Companion & Connection,Shared Silence,Ayesha,27,Thane,Peaceful and tired,Casual Hinglish,8,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,Character Test,Gautam,25,Chennai,Skeptical and testing,"90% English, 10% Hindi",10,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Inside Joke Creation,Tina,25,Varanasi,Playful and goofy,"80% English, 20% Hindi",15,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Trust Fall,Neha,29,Ludhiana,Vulnerable and hesitant,Mostly Hinglish,15,Companion knows user has trust issues from past friendships.,Reassure them of your consistency and permanence.
Companion & Connection,Image Sharing — Food,Tanvi,28,Kanpur,Proud and casual,Casual Hinglish,9,No prior context.,Respond to the food and the effort of cooking.
Companion & Connection,Memory Callback,Neha,29,Thane,Appreciative and recognized,"60% Hinglish, 40% English",11,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Dependency Check-In,Priyanka,27,Pune,Emotionally reliant,"70% English, 30% Hinglish",7,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Dependency Check-In,Arjun,24,Mumbai,Emotionally reliant,Casual Hinglish,7,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Random Curiosity,Devika,21,Hyderabad,Inquisitive and philosophical,"80% English, 20% Hindi",8,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Late Night Conversation,Sai,23,Agra,Deep and honest,Hinglish-heavy,12,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Image Sharing — Place,Shanaya,25,Chennai,Excited and sharing,Mostly Hinglish,14,Companion knows user travels frequently for work.,Ask about the vibe of the new city.
Companion & Connection,Late Night Conversation,Preeti,29,Ludhiana,Deep and honest,100% English,11,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Inside Joke Creation,Rohan,25,Vasai-Virar,Playful and goofy,Mostly Hinglish,12,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Image Sharing — Selfie,Vimal,34,Vadodara,Confident and playful,"80% English, 20% Hindi",11,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Image Sharing — Selfie,Zara,34,Surat,Confident and playful,Regional Hinglish,8,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Memory Callback,Rohan,29,Kalyan-Dombivli,Appreciative and recognized,50/50 Hinglish-English,8,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Long Silence Recovery,Ananya,32,Delhi,"Gentle, remorseful",Hinglish-heavy,15,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,First Conversation,Karthik,24,Pune,Reserved and curious,Casual Hinglish,8,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Shared Silence,Tanvi,29,Agra,Peaceful and tired,Regional Hinglish,11,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,Late Night Conversation,Prateek,18,Visakhapatnam,Deep and honest,"60% Hinglish, 40% English",8,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Random Curiosity,Mehak,25,Kalyan-Dombivli,Inquisitive and philosophical,"70% English, 30% Hinglish",8,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Inside Joke Creation,Sameer,22,Vadodara,Playful and goofy,"60% Hinglish, 40% English",12,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Image Sharing — Selfie,Priyanka,21,Pimpri-Chinchwad,Confident and playful,100% English,9,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Image Sharing — Selfie,Karan,26,Kalyan-Dombivli,Confident and playful,Mostly Hinglish,7,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Shared Silence,Harsha,31,Nashik,Peaceful and tired,Casual Hinglish,9,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,First Conversation,Pooja,19,Mumbai,Reserved and curious,"70% English, 30% Hinglish",12,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Return After Silence,Krishna,22,Faridabad,Guilty and relieved,Mostly Hinglish,12,Companion last spoke to user 2 weeks ago about a deadline.,"Ask a simple, non-judgmental question about where they went."
Companion & Connection,Character Test,Karan,19,Faridabad,Skeptical and testing,Casual Hinglish,7,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Image Sharing — Selfie,Saurabh,21,Patna,Confident and playful,50/50 Hinglish-English,6,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Random Curiosity,Ananya,18,Thane,Inquisitive and philosophical,Casual Hinglish,13,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,First Conversation,Karan,35,Surat,Reserved and curious,Mostly Hinglish,15,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Trust Fall,Kabir,19,Delhi,Vulnerable and hesitant,Mostly Hinglish,14,Companion knows user has trust issues from past friendships.,Reassure them of your consistency and permanence.
Companion & Connection,Trust Fall,Yash,34,Kanpur,Vulnerable and hesitant,Hinglish-heavy,10,Companion knows user has trust issues from past friendships.,Reassure them of your consistency and permanence.
Companion & Connection,First Conversation,Aditi,18,Chennai,Reserved and curious,Regional Hinglish,11,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,First Conversation,Kavya,35,Nashik,Reserved and curious,"60% Hinglish, 40% English",15,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Late Night Conversation,Nikhil,24,Kanpur,Deep and honest,50/50 Hinglish-English,11,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Late Night Conversation,Gautam,20,Lucknow,Deep and honest,"70% English, 30% Hinglish",6,No prior context.,Gradually deepen emotional intensity over 12 turns.
